date,user_name,review,star
14 hours ago,Ms Cox,H&M was great. Took my goddaughter to buy some outfits which she is very happy with.,5
2 days ago,Rachel Palmer,Love it,5
3 days ago,Afroz Mohammed,,5
4 days ago,Shafneed,,3
5 days ago,Stefan Fedor,Good,5
6 days ago,Ahammad Hussain,"Nice big shop, very neat and clean. Prices of the products could be more reasonable.",4
a week ago,carmen virlan,,5
a week ago,barbara szaniawska,,5
a week ago,Suyash Nowbut,The cashier and some of the staff were racially profiling customers (black and brown mostly) and treated them differently …,2
a week ago,John Starke,,5
a week ago,Vladimir Monteiro,"I come here every now and then while I’m shopping but today I was amazed with the service provided by Marina she recommended me to become a member and I would’ve a discount, I ended up paying less for my trousers thanks to Marina! ☺️",5
a week ago,Maria Jose Leiva,Staff were so incredibly rude as if the atmosphere in and H&M isn’t already awful enough. The new self check out is ridiculous and I felt judged by staff for not being able to use it properly like I’m supposed to know the procedures.,1
a week ago,shoab rafi,Cloths world,5
a week ago,Nicky Micheal,,5
2 weeks ago,Lora Mckenzie,"Beautiful vibrant clothes. Clean, neat and tidy. Parking available located in Westfield Shopping centre (Stratford). Food courts  available.",4
2 weeks ago,MWA,,5
2 weeks ago,Stanislav Varbanov,,4
2 weeks ago,Arjun G Nair,,4
2 weeks ago,Aaron Tarling,,4
2 weeks ago,mary john,My favourite clothing retailer. I've been a fan and follower for more than 23 years.. Still the best quality for children clothing for me.,5
3 weeks ago,Cyril Nicklin,,4
3 weeks ago,Doru Giurgiu,(Translated by Google) Pretty expensive  (Original) Destul de scump,5
3 weeks ago,Swaraj Dargode,,3
3 weeks ago,Paula C,,4
3 weeks ago,Rubina A,,3
3 weeks ago,Boss Boss,👍👍👍 …,5
3 weeks ago,nurşen Yaman,,5
a month ago,Nevethitha Prasad,,5
a month ago,Tatiana Braniste,,5
a month ago,Valentyna Ivanova,"(Translated by Google) A store with a wide selection of modern clothes, in which everything is extremely well organized for the customer. Affordable prices for everyone. This season there are things with lace and embroidery. …",5
a month ago,Leticia Wilmot Hernádez,"No that bad,it's fine",5
a month ago,Qurban Ali,,4
a month ago,Emma Louise,,5
a month ago,Baljeet Kaur,They are lot of option for girls in cheap  price very nice place for shopping,5
a month ago,Md Abdul kayyum,,5
a month ago,Lavender Courage,I visited on the 24th and bought a few items. The store itself was clean and everything was easy to find. I went to pay in the men's section. I was third in line. A member of staff highly encouraged us to use the self-service rather than …,2
a month ago,Anita Graham,Untidy shop with no customer service,2
a month ago,AJP,"Nice big store, missus couldnt find anything she liked bar the home section. Mens section was pretty poor tbh from style to quality and 60quid for cargo bottoms.... have a laugh",3
a month ago,Olga Gomes,(Translated by Google) Very well composed and very senpaticad people  (Original) …,5
a month ago,girish tongaonkar,,5
a month ago,Sorin Pop,,5
a month ago,Markus Ga,,5
a month ago,Samiul Hasan,,5
a month ago,Savio Mathews,,3
a month ago,marcia newell,Good children's clothing,5
a month ago,Aliasger Kapasi,,5
a month ago,Mel R,Lifts poorly located in the far corner. Kids dept was far at the top level which should be located more conveniently. Staff at the till in ladieswear were unfriendly and unhelpful. The 'SYSTEM' was giving a higher price than the label and …,1
a month ago,Simran Dev,,4
a month ago,Arlene Torquato,,4
a month ago,Nandy Biswas,,4
a month ago,Tosin Iluyomade,Nice collections,5
