date,user_name,review,star
Hace un mes,Nicolás Vicente,,4
Hace 3 meses,DAVID_YT,"Reina Mercedes, donde están las diferentes facultades. Yo realmente voy a hacer los exámenes allí.",5
Hace 3 meses,Rosa ES,,5
Hace 3 meses,Mario Masero,,3
Hace 3 meses,Enrique Fernandez,,4
Hace 3 meses,Andrew Tonks,"(Traducido por Google) Me encanta venir a visitar a la gente aquí, ¡quizás el único obstáculo para la perfección es lo difícil que es encontrar un lugar para estacionar!  (Original) I love coming to visit people here, maybe the only obstruction to perfection is how hard it is to find somewhere to park!",4
Hace 3 meses,Manuel Antonio Diaz Montalvo,Mi alma Mater.,5
Hace 4 meses,Paloma Martel,"Muy matemática, fría como los números.",4
Hace 4 meses,Julio Nogales Bueno,,5
Hace 4 meses,PANDA team,"aquí hice la selectividad hace justo ahora 10 años y ahora me presento en 15 días para el primer examen de las oposiciones. Ojalá haya suerte.... vamos por todas, que no sea por no intentarlo.",5
Hace 5 meses,Sandra Mellado,,4
Hace 5 meses,Juan José Troyano,,4
Hace 7 meses,Luis Enrique Macarro,,4
Hace 7 meses,maaryaa Bohórquez,,5
Hace 7 meses,Alfonso Gordillo Hidalgo,,3
Hace 8 meses,Pedro Solís O’Neill,,5
Hace 8 meses,Francisco Espiñeira Alonso,,5
Hace 9 meses,Curro Mediavilla,,4
Hace 9 meses,Carolina Romero Carballar,,5
Hace 9 meses,ines lirola delgado,,5
Hace 11 meses,Jesús Jesús,,4
Hace 11 meses,Arsenio,El trato del personal de cafetería es lamentable.,1
Hace 11 meses,Farina Marquez,,5
Hace 11 meses,Maria Barrientos S,,5
Hace 11 meses,Daniel Domínguez Morales,Perfecta universidad. Pero intentar no ir en coche. Difícil aparcamiento,5
Hace 11 meses,inma garcia gomez,Todo perfecto hemos ido para la segunda dosis de la vacuna y todo muy organizado y rápido,5
Hace un año,Cristina Colomera,,5
Hace un año,Chari Chocero,,4
Hace un año,Frank Duarte,,2
Hace un año,Christian Manzano Bermudez,Fuy para vacunar a mi hija. Lo q vi estaba todo muy limpio. Buena organización y pocas personas...nose si sería ya x la hora q era ya pasada la tarde,3
