review|class
Lifts poorly located in the far corner. Kids dept was far at the top level which should be located more conveniently. Staff at the till in ladieswear were unfriendly and unhelpful. The 'SYSTEM' was giving a higher price than the label and the assistant said the label was wrong - well you were wrong as The Manager came to resolve! Basic Customer Service training needed. I didn't feel I was a valued customer. Then the Assistant couldn't help to get another item from the upper level, 'I can't leave the till blah blah blah' - think outside of the box! I had 3 children and your store layout is ridiculous. Your prices were not correct and items for the 3 for 2 promotion were wrongly placed which inconvenienced me and so I left them. 3 white tshirts for PE £2.99 and the next size up £9.99 which didnt make sense. Very very dissapointed as all sizes upto 14+ are £2.99 online but the 3 for 2 and promo is not online! Waste of time! Staff should handle the situation better! I just want good service!|0
I experienced racism! It's so bad.. The cashier asked to use self check service but didn't help me remove the security tag! When I came back home I found it still locked on my clothes.|0
Very Unprofessional staff.  Manager kitty was such a rude person. Her behaviour was very unprofessional. We brought something from the shop but forgot to take the tags off. Apparently had to come back for this. Member of staff checked everything and took it off. All of sudden another member of staff stopped us by the door and took the shopping away. Asked to go to till in a very rude way regardless listening to our statement. Even when we went to till she wasn’t interested to listen straight way called manager (kitty) and there started interesting part. She came up to us with very loud voice like we stole million pound. We been requesting again and again to go and talk to her staff who sorted things for us. She was almost screaming with us front of all other customers and everyone was looking at us. Tbh I felt so down. Anyway at the end she apologised to us and admitted her mistake. If management watching this review then,All I want from H&M is to train those unprofessional, overexcited and uncivilised staff like KITTY.|0
Unprofessional staff, not all of them but the guy at ladies fitting room is very arrogant and he thinks the customers are his workers. Very disrespectful. This happened on 5th nov at 18:30.|0
I bought 3 items at this store at around 8:30pm on 15 Aug but the staff just packed 2 items into the bag. I came back to ask for camera check but they promised to check in the next day then contact me via my phone number even it was the last day I stayed there. There's no response until now, I cannot come back there to check. Customer service here is poor.|0
Nice place to visit but very poor children formal clothes quality and no options.|0
They seem to have sacked 80% of their checkout staff and replaced them with ineffective self checkout terminals that most people seemingly can't operate.  I was queuing for about 20 minutes today with no movement before giving up and walking out.  It's as if they are trying to make the retail experience so unpleasant that we'd rather shop online to save ourselves the frustration 🤔|0
Terrible customer service.  We struggled to self check and there was no one to assist us. After waiting over 5 minutes for assistance we had to go to try and find someone for help.  We couldn't find anyone on the floor.  Eventually a very rude person came to the till to take our money, no hello, no apology, nothing! Worst shopping experience ever.  I would not recommend this store and I will never use the company again. Appalling service and treatment!|0
Customer service is appalling. I had questions about where the shoes were so I went up to a lady who I’m assuming was the manager (brunette, white) and she wagged her finger no at me and walked straight past me and I went up to another retail worker and she had a lot of attitude when I asked her. Disgusting|0
One of their employees literally shoved me out of the way when I was looking for something and was very rude, you guys really need to sort your staff out|0
Awful customers service. I was so chocked because the online customer service is really good. Team member at the cash desk were having personal conversation and laughing out loud between them while serving customers . A manager with long brown hair came to authorised a refund and gave attitude to the customer without even talking the her. What an awful experience to be given attitude by someone in charge in the store .Never ever again . I’ll just keep buying on line. The perfect exemple showing why online business is taking over store’s business.|0
COMPLAINT:  About the staff members in H&M Westfield Stratford (). I asked the cashier () specifically to exchange an online item with an item in store, I left both items on the desk (making it even more obvious that I wanted an exchange) However she automatically returned it, and did nothing about it. I asked the manager, she was abrupt and did not resolve the issue instead was very blunt, that they can't do anything about it. They did  not listen, instead they were very rude. I went earlier that day, and asked the manager and he said it was perfectly fine as long as the items matched the same price It was really sad, the other manager was not sympathetic at all, when I kept telling her my situation about my family relative, she abruptly repeated 'we can't do anything about it'.|0
Very rude staff! I had a very bad experience in this shop. I love H&M and I am a loyal customer but when the people who work treat you disrespectfully you are very sad after! I have never seen a shop with more ugly staff than this!|0
I was at the Stratford, Westfield branch of H&M and a few young staff members decided to follow me around the shop, they never asked if I needed help, but they were always behind me as if I was going to steal something. I would like this matter to be taken seriously, as this is very racist and prejudice. If this happens again I will take serious legal action and will raise awareness that H&M has staff members who have unconscious bias towards a specific demographic. If come back again and treated the same way I will report you to the Local Government Authority which owns the property. Please train your staff to avoid childishly following Black people, if they felt something was going to be stolen, they should have followed at a great distance so it won't ruin customer experience. I did not confront them about it as I did not want a commotion, but if I experience that treatment again I will make serious vocal complaint to media publications raising aware of the racism in H&M.|0
My mum was robbed at exactly 17:30 on the 4th of September in the Stratford branch, and the staff showed no compassion. They've done nothing to help. This store clearly isn't the safest place to be in.  Pickpocketing is one thing but robbery is another. Obviously the security aren't very useless. When my mum came home she was shivering; she had to walk because they took her phone and all her cards. She is diabetic and now she is scared to go out by herself. This is how HM treats their customers so poorly. My mum gave the full description of the culprit; it was a lady wearing the hijab but nothing has been done; instead the staff were showing attitude as if it was her fault she was robbed.|0
Great products. Second h&m in one day with rude staff on the entrance. We are all under the pressure but there 8s no need to be rude. Just before that visited other shop from different brand with very nice and friendly people around. Please work with your staff.|0
Terrible customer service today. Staff leaving till seven when massive queue. Rude staff at till whispering behind customer back. Ignored by staff member who was in front of me in downstairs till. 13:33 store GB0911 sa 132231 no 9259|0
Terrible experience. Not only H&M has terrible return policy where you can’t do straight forward  exchanges. I bought something online on Black Friday sale, size was too big so wanted to go for smaller size. Couldn’t get it for the same price as originally as you can’t exchange items. You need to return it and buy it again and of course price went back it original one. Then you go to store to return item and code that is on my label didn't work. Haven’t been offered any alternative solution or apology. I was just left with: “oh, the code doesn’t work and you need to return it online” send off. Won’t be shopping at H&M again.  Fix your return policy and poor customer service!|0
The worse H&M I have ever visited, rude staff and that is the only way that they excelled|0
"Horrible and unhelpful staff in the fitting room area ar H&M Westfield Stratford. Two memvers of the staff today at 8.42pm, talking loudly about random conversations in front of me when I came to try some trousers. Then I noticed that I needed a size more and they said they are closing and I cannot come back with the other said, it wasn't even 8.45pm yet! The only thing they said when I mention that I only needed a size more was ""sorry about that.."". It was definitely the most unprofessional service I've seen in retail and will not come back to this shop at all. There are plenty of retailers and definitely providing a better customer service!"|0
New store looks great. Staff are useless. After waiting 30 minutes in a queue, I tried to use my Westfield discount card. He denied it, called for a manager and waited 10 minutes and they didn't come. Paid full price and a young boy left the security tags on the clothes! (Kids wear department) need to make a trip back there tommorow now. Salesman is 138933. Ridiculous|0
Got forced to open a membership account even though I refused and said I didn't need it. Felt very pressured to have to waste ten minutes to open an account just so I could pay for my good.|0
