date|user_name|review|star
a week ago|Collin Hongze Chen|They offer horrible service. They can’t refund with Apple Pay and the guy told me to get a temporary physical card from the Apple Store. But the guy lied because Apple Store doesn’t have such service. I will never buy anything from the H&M.|1
a week ago|Kjkjkj jm|Store manager assume costumers as liar|1
2 weeks ago|Paradox Buster|Absolutely fantastic customer service!|5
3 weeks ago|Regan Wilkins|I loved these pants like loved them. I literally wore them a few times and just purchased them a month ago. But this morning when i already had my jeans on and ready to go I bent down to grab something and they ripped right by the pocket. I …|1
3 weeks ago|diana carolina isaza marin||4
a month ago|Kit Parker|It's retail on Newbury Street.|3
a month ago|Katherine Kennedy||4
a month ago|John Am|It’s a Sweden brand, which we boycott because their racist double standard government they let extremist burn the holy book|1
a month ago|Sindy|Just heads up they don’t do price match so if you’re looking for something in store might have to go somewhere else or order online|3
a month ago|Axel Lago|(Translated by Google) Lots of offers and good prices  (Original) Mucha oferta y buenos precios|4
a month ago|Madeline M|H & M has just what you need if you are into the 2000s aesthetic or need practical clothing. Although, the quality is not great. This store is great for new trends but it doesn’t last a long time.|4
2 months ago|Solanye Camargo|(Translated by Google) Great style, very nice clothes  (Original) Genial Estilo, ropa muy linda|5
2 months ago|Prashant Singh|Good place to buy clothes|4
2 months ago|Ana Romanelli|Only 2 cashiers working in the busiest time of the year. ABSURD|1
2 months ago|Drew Linds|Stylish items for affordable pricing. Repeat customer.|5
2 months ago|Keval Shah|Worst experience. Never visit. Anthony the manager is so disrespectful and abusive.|1
2 months ago|J|They need to hang their long coats/dresses somewhere higher…. This is gross. Buyers, beware if purchasing long items like these. Otherwise, it is a decent H&M with a large selection of items, and a great team of employees.|2
2 months ago|Aly Krastin||4
2 months ago|Ruchi Kapadiwala||5
2 months ago|Trinidad Santana||5
2 months ago|Sofia Villa||4
2 months ago|Kealita Demary||3
3 months ago|Juan Lojo||4
3 months ago|Amber Luo||5
3 months ago|msvs akhilsharma||3
3 months ago|Daniel Sallaku||5
3 months ago|himani bhagwat||4
3 months ago|M. S. Rosito||5
3 months ago|fathmath neesha||4
3 months ago|arushi shrivastava||5
4 months ago|Divakar Jain|One of the bigger H&M stores.|4
4 months ago|Iqbal Mahmood|Good quality at reasonable rate.|5
4 months ago|Fawaz Mobaideen||5
4 months ago|Darshana Revankar||5
4 months ago|oo-|Nice kid's clothes selection|4
4 months ago|Julian Diaz||4
4 months ago|Pamela Martin||2
4 months ago|Aiden Dever||4
5 months ago|Algerien Melbekri||4
5 months ago|Cheryl Jackimocz|Downtown Boston. Very nice store. Clothing for the younger generation.|5
5 months ago|Javier Otero||5
5 months ago|James Toubia|A little disorganized but overall decent|4
5 months ago|Michael Chunko|The men's selection is small, but what is there is well organized and there's a good clearance section|4
5 months ago|pixie|aesthetically pleasing and i personally love the vibe of the store. there’s cute clothes there but most of the clothes for the chilly season are overpriced.|5
5 months ago|Simon Menache||5
6 months ago|Michael Currie|Lots of stuff my kids wanted... dressing rooms were packed!|4
6 months ago|Melanie L|Just a regular h&m, a little bit messy. Nice but not enough employees, long queue.|3
6 months ago|Halı Saha Sakinleri||4
6 months ago|pranitha r|This place has a really good collection on a random day and no good collection at all on other days. Considering that this place is always crowded and billing line is always huge, they don’t have staff on the first floor for billing ok weekdays which makes it look like it is crowded all the time|2
6 months ago|Parth Naik||5
6 months ago|Danostories|Nice place|5
6 months ago|Michelle Shtifman|I bought a shirt that said it was supposed to be 12.99 but the total came to 18.04 and it said I bought 2 items but I only bought 1|1
6 months ago|goutham sekharamantri||4
6 months ago|Karen Villalba Ramos||5
6 months ago|v 007|It is an nice place for shopping. The prices are very reasonable and some are very cheaper. I bought a Jacket for 10.99 and the original price was around 200.00|5
6 months ago|Rahul Kande|I'll find a lot of good deals on sale. There is a wide collection of merchandise including formal wear.|4
6 months ago|Kankana Borah|The|5
6 months ago|Claudia ARCOS SALAZAR|(Translated by Google) Delayed to pay  (Original) Demorado para poder pagar|4
6 months ago|Andrej Pancik||1
7 months ago|Ahmed Alhosani|👍🏼 …|5
7 months ago|Yiyang Gao|Actually bad customer experience. Wont spend time and money here. I know customers are a lot today but that should not be not an excuse.|1
7 months ago|Kate Goldberg|Chronically understaffed and extremely hot and humid. I almost passed out waiting in line to check out.|2
7 months ago|Tait Galbraith||4
7 months ago|Patricia Ospina|(Translated by Google) This place M&M HOME is a great store it has 2 floors and there are clothes for men and women and the prices are varied with excellent service …|5
7 months ago|Sage Ann||5
7 months ago|S.A. Roy|Great prices|5
