date|user_name|review|star
8 months ago|Bobbie Carden|I would not shop here. The commercial has the MOST Horrific looking outfits and the black haired women is so hard to look at...for goodness sakes please  do something with those  eyebrows. Just poor fashion and taste all around.|1
8 months ago|Javymar Urdaneta Martinez|I came to H&M Lakeland and it was the worst experience. The fitting rooms close 40 minutes before the clothing store closes. The customer service was terrible. And the teens that work there don’t have any customer service skills and have a terrible attitude. I came with my mom from out of the country and It was a Horrendous experience.|1
4 years ago|Jamie Watkins (RedWingJamie)|Basically, the mall is 2 steps away from closing. Nothing in it is worth anything. And unless you want Chinese food, there's not much to choose from to eat. There is now 5 Chinese fast food places in the food court, and that's about it. Go to Brandon, Tampa or Orlando. This place sucks.|1
5 years ago|Cooper Stevenson|This is my experience after trying to get in contact with the mall manager over several phone calls, none of which were answered or returned. I have sat in the mall management office for 10 minutes now with no offers for assistance. One of the employees looked at me through his door, then looked down and dramatically exhaled, clearly showing contempt for their customers. He closed the door, and I could hear what sounded like it couldn't be anything but a belt being fumbled with, and then a zipper. Some unnamed representative finally came up to speak with me, and she told me that performing permits aren't distributed, despite a security officer having told me they can be. I am not just fighting for myself, I want to get a shade put up over the bus benches so other people and I won't have to suffer, baking in the insane heat that Florida is famous for.|1
4 years ago|Maggie Skittles|I'm a fan of the FYE store and finally went around the entire mall recently with my service dog and my mum. The Dillard's is like something out of an early CSI (original) episode, kinda creepy, mysterious stains, and smells like dead something. The staff I encountered throughout the mall were really friendly and had great service dog etiquette. I was shocked to learn that they pretty much just let any dog inside because the owners didn't educate them about service dog laws (did a quick run down with a security guard and Claire's employee, misbehaving dogs, SD or not, can be asked to leave). After we grabbed a quick lunch at the food court, I was disgusted to spot my service dog investigating a bunch of bugs crawling across the floor. After that, we promptly left. I doubt we'll return. The staff we met were nice, polite, and helpful, but bugs around food is not okay.|1
5 years ago|Regina Wade|I purchased a bathing suit in Miami and tried to return it since I didn't use it but no one informed me of he no bottom return until I went to return it in Lakeland.  I just want to know why the hell would you return the top not the bottom that's a stupid policy.  People try on them bathing suits in the store but you all won't return them.  I will not purchase from here anymore due to that stupid policy and because when I purchased the bathing suit the policy should have been told to me and I wouldn't have purchased it I would have went elsewhere.  Never again.  Make sure this policy is told to your customers because I wouldn't have know until I purchased the bathing suit since the policy isn't posted up in the store but only on the back of the receipt.|1
2 years ago|George (Silly Barefooter)|(2019)  The locator thingy is in the wrong spot. Size wise it would be ideal for H & M to take over the Sears spot since Sears is finally closed but otherwise I'm leaving this a 4 star until it's moved to the exact location on this map. After that, I'll take my comment & rating down.  (NOTE: My rating doesn't reflect the store & employees so please check them out.) ________________________________________ (2020)  .... OK. I'm guessing the store owner must not had posted the location of the H&M cursor because my comment is a year old and it's still located on the wrong side of the map. Nothing has came to where the cursor is currently at and H&M is located near J.C.Penney.|1
4 years ago|chloe winslow|Extremely rude and loud employees, below average clothes that fit a minimal amount of people, and cheap and rough fabrics. the only good thing is the jeans but i’d say to order the online because the experience in stores are just awful|1
a year ago|Cheryl Kennedy|I tried the store because it said it had  plus sizes now but they're plus sizes are nowhere near plus sizes. It's for the younger possibly chunkier junior plus not women|1
4 years ago|Darren The Inspiration|To start this off I would like to say I am a black man raising a beautiful young black boy. Growing up i was called monkey not because I was active but because the racial undertone of what it represent. I can give a short history lesson on how African Americans had to prove that we were actual humans and we were perceived to be equivalents to monkeys. They even put children in a zoo in cages throwing bananas at them,spitting, and throwing rocks at them while spitting racial slurs. For a company that big who has people  to research things like this should of caught this early because honestly this information and correlation isn't hard to find. So for the lack of care and respect for a specific racial demographic. This place will never get a penny from me. Not a good company for ne...|1
