date|user_name|review|star
a month ago|Mel R|Lifts poorly located in the far corner. Kids dept was far at the top level which should be located more conveniently. Staff at the till in ladieswear were unfriendly and unhelpful. The 'SYSTEM' was giving a higher price than the label and the assistant said the label was wrong - well you were wrong as The Manager came to resolve! Basic Customer Service training needed. I didn't feel I was a valued customer. Then the Assistant couldn't help to get another item from the upper level, 'I can't leave the till blah blah blah' - think outside of the box! I had 3 children and your store layout is ridiculous. Your prices were not correct and items for the 3 for 2 promotion were wrongly placed which inconvenienced me and so I left them. 3 white tshirts for PE £2.99 and the next size up £9.99 which didnt make sense. Very very dissapointed as all sizes upto 14+ are £2.99 online but the 3 for 2 and promo is not online! Waste of time! Staff should handle the situation better! I just want good service!|1
2 months ago|YX Z|I experienced racism! It's so bad.. The cashier asked to use self check service but didn't help me remove the security tag! When I came back home I found it still locked on my clothes.|1
3 months ago|RONY,S VLOG|Very Unprofessional staff.  Manager kitty was such a rude person. Her behaviour was very unprofessional. We brought something from the shop but forgot to take the tags off. Apparently had to come back for this. Member of staff checked everything and took it off. All of sudden another member of staff stopped us by the door and took the shopping away. Asked to go to till in a very rude way regardless listening to our statement. Even when we went to till she wasn’t interested to listen straight way called manager (kitty) and there started interesting part. She came up to us with very loud voice like we stole million pound. We been requesting again and again to go and talk to her staff who sorted things for us. She was almost screaming with us front of all other customers and everyone was looking at us. Tbh I felt so down. Anyway at the end she apologised to us and admitted her mistake. If management watching this review then,All I want from H&M is to train those unprofessional, overexcited and uncivilised staff like KITTY.|1
3 months ago|Priya Sweety|Unprofessional staff, not all of them but the guy at ladies fitting room is very arrogant and he thinks the customers are his workers. Very disrespectful. This happened on 5th nov at 18:30.|1
6 months ago|Ha Khuong|I bought 3 items at this store at around 8:30pm on 15 Aug but the staff just packed 2 items into the bag. I came back to ask for camera check but they promised to check in the next day then contact me via my phone number even it was the last day I stayed there. There's no response until now, I cannot come back there to check. Customer service here is poor.|1
5 months ago|REG nedi|Nice place to visit but very poor children formal clothes quality and no options.|1
8 months ago|Johan Harmse|They seem to have sacked 80% of their checkout staff and replaced them with ineffective self checkout terminals that most people seemingly can't operate.  I was queuing for about 20 minutes today with no movement before giving up and walking out.  It's as if they are trying to make the retail experience so unpleasant that we'd rather shop online to save ourselves the frustration 🤔|1
9 months ago|Mr Jason|Terrible customer service.  We struggled to self check and there was no one to assist us. After waiting over 5 minutes for assistance we had to go to try and find someone for help.  We couldn't find anyone on the floor.  Eventually a very rude person came to the till to take our money, no hello, no apology, nothing! Worst shopping experience ever.  I would not recommend this store and I will never use the company again. Appalling service and treatment!|1
9 months ago|Sumayya F|Customer service is appalling. I had questions about where the shoes were so I went up to a lady who I’m assuming was the manager (brunette, white) and she wagged her finger no at me and walked straight past me and I went up to another retail worker and she had a lot of attitude when I asked her. Disgusting|1
3 months ago|sadnoodle|One of their employees literally shoved me out of the way when I was looking for something and was very rude, you guys really need to sort your staff out|1
