date|user_name|review|star
10 hours ago|Dee Black (Geenie Hair Extensions)|Nicely organised,  they have a nice nails bar at the branch.|5
4 days ago|Mary Cordova|The staff in kids area is so kindle|5
5 days ago|Ronit Eiges|(Translated by Google) The store is big and many sellers want to help. But the store's policy of not returning money, according to them since Brexit, doesn't seem to me... and quite a bit of money could have been saved by doing so.  (Original) החנות גדולה והרבה מוכרות שרוצות לעזור. אך מדיניות החנות לא להחזיר מעמ, לטענתן מאז הברקזיט, לא נראית לי.. וניתן היה לחסוך לא מעט כסף בכך.|3
6 days ago|laima laima|(Translated by Google) I really like everything there!  (Original) Man viskas ten labai patinka!|5
6 days ago|Ces Ficai||5
a week ago|Jeniya Gwendu|Bought outfits from their sale selection|4
a week ago|Ananda Luchetti|The music is so loud I suspect they're somehow trying to keep customers away 😢 I couldn't even have a proper look around the store because it was unbearable 😕 …|1
2 weeks ago|Lars Larsen|(Translated by Google) Huge H&M with a large selection. So if you haven't had enough of H&M in DK, you can easily buy cheap clothes of Nordic quality.  (Original) Kæmpe H&M med stort udvalg. Så hvis du ikke har fået nok i DK af H&M kan du nemt få handlet billigt tøj af Nordisk kvalitet.|4
3 weeks ago|babis hatziefstratiou||3
3 weeks ago|Carmit Shatzman David||5
3 weeks ago|Juanfran Jiménez Martín||4
3 weeks ago|Krusha Raval||4
3 weeks ago|Far Na|Couldn't find everything but uts nice and tidy|3
3 weeks ago|Rick To|Great alternative home store. On par is zara home.|5
a month ago|Alessandro Blasi|(Translated by Google) Huge and very nice shop, with a giant screen near the escalators showing very choreographed graphic effects and attracting attention even from the street.  (Original) Negozio enorme e molto bello, con uno schermo gigante vicino alle scale mobili che mostra effetti grafici molto coreografici e che attira l'attenzione anche dalla strada.|5
a month ago|Moumita Guha||5
a month ago|GG|Nice 😍 …|5
a month ago|Tomas Sordo Fuente||4
a month ago|Syed Faraaz Ahmed||3
a month ago|Marco Basile||4
