date|user_name|review|star
4 months ago|secil canbay|I realized why I never shop from this brand again. I pass by because I need urgently to buy simple t-shirt.  I’ve been waiting on the line for 20 minutes although there is no one in front of me because they’re lack of stuff. Well I lost 30 mins and my mood. Pay 5$ more go to another store|1
9 months ago|Anya|Nice store however their changing room policy is ridiculous. I waited in line which was quite long, but understandable it's the weekend. There is a 7 item limit and I had 12. I split them in half to stay within the limit. However when I wanted to try the second half of my outfits I was told that I need to redo the line. It's a first time I ever hear that in a store. I already waited in line and only needed a few more minutes to try the rest of my clothes. Overall it ruined the visit because I wasn't able to try the rest of my items|1
a month ago|Mohamed Maoui|Some cashiers are really unprofessional and horrible at dealing with costumers unfortunately. Being polite is free btw!|1
a month ago|Yanny Sit|Goggle said the store closes at 6pm and so does the sign at the door. I got there at 5:33pm and they locked the doors already!|1
8 months ago|Wajid Rafique|Awful experience with the store employees, absolutely nonprofessional, lack customer service etiquettes. A store employee started chasing my family right from the time we entered the kids area. She would come and instruct us not to do this or that and later misguided about the changing room. I argued about her behavior ansmd she called her supervisor and this guy was worse than her. He asked me to arrange the clothes that we tried which was against the customer service rules. Both the supervisor and the employee made sure that i don't come to  H&M again. I wrote a complain but no reesponse yet. I would recommend h&m to teach ethics to your employees.|1
2 months ago|Peter Chen|The people working at this store are insufferable.  Spend your money and time elsewhere!|1
10 months ago|Arpad Me|Nice store, awful service. Tried to exchange my 5yr old granddaughter's shoes I bought the day before which had a manufacturing defect. (The inside sole in the left shoe was bend and glued in half creating a bump which wasn't visible when I bought it.) When the two girls at service desk  refused the exchange I asked for the supervisor (refused to identify herself) who told me that the shoes didn't look brand new. The next day I went to H&M Rockland branch where everything was settled in 5 minutes.|1
9 months ago|Jean-Francois Desroches|Long time customer who quit the store for good. Customer services will straight lie to you saying they can't get back your receipt. Was just trying to exchange an item for a different size.|1
9 months ago|Asefeh Hasani|I had the worst experience of shopping in this store of H&M yesterday. I forgot my mask and just covered my face, then went to the cashier to ask if they can give me a mask, they told me No. Then I went towards the exit door, looking at items, while I was still covering my face, I saw the cashier came to me and literally throw me out of the store in a very disrespectful way. His behaviour to me was super offensive and really disrespectful. The point is that mask obligation will be removed from the next week in Quebec and it has been removed last month in Ontario. I will not comeback to this store again.|1
a year ago|Dennis van Opstal|Would give a 0 if possible, nothing wrong with the store or the merchandise but what a rude staff! Manager decided to close down the fitting rooms one day before Christmas to “protect” his staff while rest of shop was heaving with shoppers, anyway, manager is the most disrespectful and hate filled human being I had to lay my eyes on. But he didn’t ruin Christmas for me man! Love conquers all!|1
7 months ago|Samira Akhavan|Rediculous behaviour and unkind staff, i wanted to acompany my mom in fitting room just a moment to see how the dress fits, they didnt let me , what is this rule, why you need such a rule in fitting room, it was just for a moment???!!!!|1
11 months ago|red cherry|I usually love H&M and the people who work there, but this one girl made it a nightmare. She wears circular glasses and has wavy hair. Her coworker referred to her as Camilla or something close. I don't believe fits the H&M image… she was terribly, and I mean extremely, nasty to customers. I can tell she feel superior…|1
5 months ago|L|the employee wasn’t aware of the brand’s policies and decided to gaslighted me instead, not a fun experience and left empty handed instead|1
9 months ago|Ginny Loy|When I wanted to go in for a quick browse, the guy at the door stopped me and stated that their policy is to not let anyone in 20 min  before the closing time.They should really change the closing time if that is the case.|1
9 months ago|joé david crotti|worst h&m i have seen. employees and the manager’s are very rude. It’s seems like they don’t like there job, it’s sad too see that in customer service.|1
11 months ago|Rishard Gulam|Please check your checkout bag before leaving as the cashiers are a bit incompetent of bagging all your products. Once you face a problem with H&M do not expect customers service.|1
2 years ago|Bảo Thắng Nguyễn|The staffs were really rude. They behaved with me like they are my boss and even yelled at me from behind. It really shocked me. It's such the worst experience that i have ever had when go shopping! I strongly recommend that the manager here should consider their staff, teach them how to behave politely with customer like what they promised in their interview!|1
a year ago|Tomás Luna Olvera|Haven’t been to any of these in years, but was curious about shirts. Many of them are displayed all wrinkled and some stuff seems dusty. The staff seems to get ruder with the years. We shouldn’t expect much at these stores though 🤷🏻‍♂️ …|1
7 years ago|Andrew Clark|Let me preface this by saying that I like H&M but wow this store was something else (and not in a good way). I mean it was the day after Black Friday but this was not a good experience, the store was way too crowded and stock was severely limited. The queue for the changing rooms was incredibly long and so very slow. After trying on the clothes I was considering purchasing I put the ones onto the tried-on clothes rack. Or so I thought. Oh how very wrong I was! I was verbally assaulted by one of the workers about how I had put my clothes in the only place that seemed appropriate but, as it turned out, wasn't quite the right spot. Oh my gosh, this sass that she gave me was wholly inappropriate and ruined the store for me. Everyone else I dealt with at the store was delightful but this worker was terrible. Maybe it was just because it was busy but it was definitely not the correct response to a complete non-issue.|1
a year ago|Emily Mck|Rude hostile cashier. Awful customer service. Not to mention some locations have closed fitting rooms so you have to purchase items and try them at home. The process of buying from h&m is hideous and time consuming.|1
2 years ago|Ranwa Al rais|I’m never going to that store ever again . I’m 27 weeks pregnant. I politely and respectfully asked the security guard at the door if I had to wait in the line outside before I could get in ( due the current covid situation ) like everyone else or if had any priority . He said you have no priority and you wait like everybody else ! The was very rude and insensitive and could have said it nicely in a different way . I’m very disgusted by how disrespectful and rude de was|1
4 years ago|Sherine Nader|Very rude employees. I was waiting for my son today outside the fitting rooms. The shop was crowded and the wait was very long. I am not a young person and suffer from a medical condition so i needed to sit. Found a bench where a young man was already sitting so i sat next to him. A pissed employee came to me and told me that it’s not allowed to sit here. I stood up, said that I was waiting for my son who was in the fitting room and  asked him if there was a place where I could sit; he answered in the rudest way: “this is not a coffee shop and we don’t have places for people to sit”. Is this how you treat your customers? Talking to them rudely and not even providing a chair where someone would sit? Decent stores always provide chairs especially near the fitting rooms. And most importantly they teach their employees how to be polite with customers.|1
2 years ago|Barbara Kraemer|The staff was nice...but the call center was mega rude and unhelpful. I asked to have someone call the store to see if the pants I had bought too big since now you can't try stuff on...where available in a size smaller and to put them aside...they flat out refused and told me it was because of covid...but 2 hours before the call center guy had done just that. What a terrible customer service|1
2 years ago|Jean candiani|the employee was super rude to me, for checking a jacket. He came at me and start yelling at me that I cannot touch the jackets and he will take it... of course he asked me if I wanted to buy all the items I was holding with my other hand. I really don't know what is going on in terms of training in this store.|1
a year ago|Roxy Meestwick|This store has 3 floors and doesn't even have maternity clothes. You have to order them online.|1
2 years ago|subah suri|The worst....staff is so rude...if H&M is going to continue like this then i dont think so that it will sustain for long. I have nevr seen a company with such bad customer service... I will nevr buy from hnm again thanks to their rude staff.... Save some bucks and buy from Zara instead...zara is worth it.|1
4 years ago|Jade H|"Went there to return an item. The cashier wasn't friendly, didn't say anything (except ""Hi"", oh and where's the ""bonjour?"" he said to all previous customers?) nor smiled. Didn't wish me a great day at the end of transaction. He only managed to say a ""thanks"" that I could barely hear after I said ""Merci, bonne journée"". Wow this must be the worst customer service I've ever encountered. PS: Pls note that the fact that I'm asian doesn't mean I can't speak french :)"|1
a year ago|Tara Shahpoor|I was told by the manager that My outfit was inappropriate to shop at the store! And they asked me not to be around kids in the store! So rude!|1
9 months ago|Alexandra Menegazzo|Worst customer experience of my life + Barely any sizes over 2|1
5 years ago|Pierre Lavallée Morissette|So much stuff I get claustrophobic. Quality is garbage, dyes used on garments are probably toxic for your skin and weird plastic smell (forsure toxic as well). Bye|1
2 years ago|Bachene Adel|Please update your working hours if you no longer let people in, 20 min before closing time. I experienced this on June 2nd, 2020 06:38 pm|1
3 years ago|Isabelle Javier|store says it closes at 7 on sunday, made the long walk there to find out it closes at 6 and I wanted to try on a dress but a guy who works there was so rude and kept pushing me out of the store saying it was closed|1
a year ago|Melissa M|Poor quality. Shop has a very small choice of clothes.|1
6 years ago|randy epp|I asked to borrow a hanger, a hanger, and they said no! Swriously, one plastic hanger and Kevin and his not helpful tattoos lisped no. Seriously, nevver ask to borrow disposible plastic hanger.|1
a year ago|leslie defazio|Bought a sweater there was a hole in it two weeks later also they had incorrect advertising|1
3 months ago|Elle Avilez|Worst costumer service ever|1
5 years ago|Patrick Lortie|Was literally told by a staff member that I was too fat to shop in a store like this. Yeah thanks for the self-esteem boost.|1
2 years ago|jasmeet singh|Worst security, manner less, don’t care about customers, really aggressive.|1
a year ago|Arshdeep Kaur|The lady on the cash counter was extremely rude…. Worst experience.|1
a year ago|alix khoram|I try to return what I buried, but they not take it😠 …|1
a year ago|Ekaterina E|Passport vaccinal is necessary for entry|1
2 years ago|Honam Ku|The staffs were really rude, and very bad customer service!!!|1
6 years ago|Josianne Brousseau|Awful experience! Cheap Clothes! Cheap services!|1
a year ago|Philippe Doré-Hébert|Cheap fast fashion shop.|1
5 years ago|Ma'at Malanda|Bad customer service I've ever seen|1
2 years ago|Hakusa|Nawww|1
5 years ago|Maxime Lussier|Poor service|1
a month ago|Mk dar|The cashier is horrible at dealing with costumers|1
a month ago|Clara Bélanger|(Translated by Google) Extremely poorly organized store, we waited 20 minutes to checkout because the employees were not able to do their job quickly and did everything but pass as many customers as possible. In addition, towards the end of our wait an employee told the people behind us to go to another checkout and therefore passed in front of us. I do not recommend this branch at all!  (Original) Magasin extrêmement mal organisé, nous avons attendu 20 minutes pour passer à la caisse parce que les employés n’étaient point capable de faire leur travail rapidement et faisaient tout sauf passer le plus de clients possibles. De plus, vers la fin de notre attente une employée a dit au gens derrière nous d’aller à une autre caisse et ont donc passé devant nous. Je ne recommande aucunement cette succursale!|1
3 months ago|Ash Roux|(Translated by Google) Super smart to close the men's fitting rooms and overload those upstairs, another big gathering of Nobel Prize winners 🤌  (Original) Super intelligent de fermer les cabines d'essayage pour homme et de surcharger celles de l'étage, encore un grand rassemblement de prix Nobel 🤌|1
