date|user_name|review|star
3 weeks ago|Regan Wilkins|I loved these pants like loved them. I literally wore them a few times and just purchased them a month ago. But this morning when i already had my jeans on and ready to go I bent down to grab something and they ripped right by the pocket. I tried calling customer service but they said it would be difficult to do an exchange because i didn’t have any tags(but i have the receipt). So yeah I won’t be purchasing these or any of these again.|1
a month ago|John Am|It’s a Sweden brand, which we boycott because their racist double standard government they let extremist burn the holy book|1
2 months ago|Ana Romanelli|Only 2 cashiers working in the busiest time of the year. ABSURD|1
4 years ago|Reen Rune|Had an unfortunate experience. Bought three pieces of boxer shorts for the price of two. One of the pieces of clothing was damaged when I opened the box, and I obviously wanted to change that pair for a new one. However I had to pay some dollars to get a new pair of shorts.|1
6 months ago|Michelle Shtifman|I bought a shirt that said it was supposed to be 12.99 but the total came to 18.04 and it said I bought 2 items but I only bought 1|1
7 months ago|Yiyang Gao|Actually bad customer experience. Wont spend time and money here. I know customers are a lot today but that should not be not an excuse.|1
2 months ago|Keval Shah|Worst experience. Never visit. Anthony the manager is so disrespectful and abusive.|1
3 years ago|Emily Allie|I want to know why you have 2 floors, ample men's clothing, ample women's clothing, a section for accessories, even a housewares section. But 0 plus size options. It's really overdue for mainstream retailers to be inclusive. I don't need to try on a duvet cover, I do need to try on clothes that fit my body. I shouldn't have to explain to a global retailer in 2019 how awful it is to be having a fun shopping day with your friends on Newbury Street and need to sit out when they hit your store just because you're not the same size as your friends.|1
11 months ago|Metro Pcs|This store's manager is the most impolite employee I've met at H&M. He treats customers like garbage; as if he were doing a favor to them|1
5 years ago|Christina Orne|Yesterday 10/21 around 11am I had a bad encounter with a sales associate/supervisor working the fitting room. I had several garments including a hat, to match an outfit I was considering in purchasing. Associate stated I was not allowed to go into the fitting room with the hat to try on, not knowing I previously worked at H&M and know the fitting room policy. So I asked him how would I be able to try on the hat with the outfit then, he stated I can go in the fitting room put on the garments I want to try on then call him and he will bring the hat, then take the hat back. Which did not make any sense. Later after I purchased the hat he didn’t allow me to try on, I informed him I previously worked at H&M and know that you are allowed to go into the fitting room to try on hats with out being monitored, I had ask to speak to a supervisor to make a complaint not knowing he was actually the supervisor on shift. Sales associates including supervisors should never profile a customer like that as you can lose sales. Yes I looked young and I am African descent doesn’t mean I plan to steal a $12.99 hat. Which everyone knows anything over $9.99 has sensors on them. He told me if I still have an issue just call customer service to make a complaint and have a nice day (sarcastically). Employees like that should be addressed and properly trained on discrimination and customer service skills.|1
5 years ago|Royry Walker|You mean to tell me i can go to Braintree with less selection than a flagship location and find just what i need? Horrible service hot and not shopable. Clothes on the floor and customer service is -100. I hear the emplyees complain about how they hate it there and cant wait to leave. Obviously they need more people that loves there job. And can help me find a basic shirt without having to ask 10 different people. Gotta love low budget fashion|1
4 years ago|Kubi D|Horrible Experince! The lady at the fitting room was so awful and mean. I had over seven items and she said that I would have to try on the rest of the items later which I was completely okay with. Later I was underdressed so I politely asked if she could hand me the other items in exchnage for the items I had already tried on, she looked at me and said that I would have to come out and get them myself! I was liteally five steps away from her! Later when I stepped out to get my stuff, she asked how many items I had I said six and she would not believe me so she made me, so she counted all the items herself. I feel offended and never had such an expereince at H&M.|1
