date|user_name|city|country|star|review
2023|Mel R|London|UK|1|lifts poorly located in the far corner. kids dept was far at the top level which should be located more conveniently. staff at the till in ladieswear were unfriendly and unhelpful. the 'system' was giving a higher price than the label and the assistant said the label was wrong - well you were wrong as the manager came to resolve! basic customer service training needed. i didn't feel i was a valued customer. then the assistant couldn't help to get another item from the upper level, 'i can't leave the till blah blah blah' - think outside of the box! i had 3 children and your store layout is ridiculous. your prices were not correct and items for the 3 for 2 promotion were wrongly placed which inconvenienced me and so i left them. 3 white tshirts for pe 2.99 and the next size up 9.99 which didnt make sense. very very dissapointed as all sizes upto 14+ are 2.99 online but the 3 for 2 and promo is not online! waste of time! staff should handle the situation better! i just want good service!
2023|YX Z|London|UK|1|i experienced racism! it's so bad.. the cashier asked to use self check service but didn't help me remove the security tag! when i came back home i found it still locked on my clothes.
2023|RONY,S VLOG|London|UK|1|very unprofessional staff. manager kitty was such a rude person. her behaviour was very unprofessional. we brought something from the shop but forgot to take the tags off. apparently had to come back for this. member of staff checked everything and took it off. all of sudden another member of staff stopped us by the door and took the shopping away. asked to go to till in a very rude way regardless listening to our statement. even when we went to till she wasn't interested to listen straight way called manager (kitty) and there started interesting part. she came up to us with very loud voice like we stole million pound. we been requesting again and again to go and talk to her staff who sorted things for us. she was almost screaming with us front of all other customers and everyone was looking at us. tbh i felt so down. anyway at the end she apologised to us and admitted her mistake. if management watching this review then,all i want from h&m is to train those unprofessional, overexcited and uncivilised staff like kitty.
2023|Priya Sweety|London|UK|1|unprofessional staff, not all of them but the guy at ladies fitting room is very arrogant and he thinks the customers are his workers. very disrespectful. this happened on 5th nov at 18:30.
2022|Ha Khuong|London|UK|1|i bought 3 items at this store at around 8:30pm on 15 aug but the staff just packed 2 items into the bag. i came back to ask for camera check but they promised to check in the next day then contact me via my phone number even it was the last day i stayed there. there's no response until now, i cannot come back there to check. customer service here is poor.
2022|REG nedi|London|UK|1|nice place to visit but very poor children formal clothes quality and no options.
2022|Johan Harmse|London|UK|1|they seem to have sacked 80% of their checkout staff and replaced them with ineffective self checkout terminals that most people seemingly can't operate. i was queuing for about 20 minutes today with no movement before giving up and walking out. it's as if they are trying to make the retail experience so unpleasant that we'd rather shop online to save ourselves the frustration
2022|Mr Jason|London|UK|1|terrible customer service. we struggled to self check and there was no one to assist us. after waiting over 5 minutes for assistance we had to go to try and find someone for help. we couldn't find anyone on the floor. eventually a very rude person came to the till to take our money, no hello, no apology, nothing! worst shopping experience ever. i would not recommend this store and i will never use the company again. appalling service and treatment!
2022|Sumayya F|London|UK|1|customer service is appalling. i had questions about where the shoes were so i went up to a lady who i'm assuming was the manager (brunette, white) and she wagged her finger no at me and walked straight past me and i went up to another retail worker and she had a lot of attitude when i asked her. disgusting
2023|sadnoodle|London|UK|1|one of their employees literally shoved me out of the way when i was looking for something and was very rude, you guys really need to sort your staff out
2022|W|London|UK|1|awful customers service. i was so chocked because the online customer service is really good. team member at the cash desk were having personal conversation and laughing out loud between them while serving customers . a manager with long brown hair came to authorised a refund and gave attitude to the customer without even talking the her. what an awful experience to be given attitude by someone in charge in the store .never ever again . i'll just keep buying on line. the perfect exemple showing why online business is taking over store's business.
2022|Tania Ahmed|London|UK|1|complaint: about the staff members in h&m westfield stratford (). i asked the cashier () specifically to exchange an online item with an item in store, i left both items on the desk (making it even more obvious that i wanted an exchange) however she automatically returned it, and did nothing about it. i asked the manager, she was abrupt and did not resolve the issue instead was very blunt, that they can't do anything about it. they did not listen, instead they were very rude. i went earlier that day, and asked the manager and he said it was perfectly fine as long as the items matched the same price it was really sad, the other manager was not sympathetic at all, when i kept telling her my situation about my family relative, she abruptly repeated 'we can't do anything about it'.
2022|Bryan Uk|London|UK|1|very rude staff! i had a very bad experience in this shop. i love h&m and i am a loyal customer but when the people who work treat you disrespectfully you are very sad after! i have never seen a shop with more ugly staff than this!
2022|WaveyJones|London|UK|1|i was at the stratford, westfield branch of h&m and a few young staff members decided to follow me around the shop, they never asked if i needed help, but they were always behind me as if i was going to steal something. i would like this matter to be taken seriously, as this is very racist and prejudice. if this happens again i will take serious legal action and will raise awareness that h&m has staff members who have unconscious bias towards a specific demographic. if come back again and treated the same way i will report you to the local government authority which owns the property. please train your staff to avoid childishly following black people, if they felt something was going to be stolen, they should have followed at a great distance so it won't ruin customer experience. i did not confront them about it as i did not want a commotion, but if i experience that treatment again i will make serious vocal complaint to media publications raising aware of the racism in h&m.
2022|Nishat Chowdhury|London|UK|1|my mum was robbed at exactly 17:30 on the 4th of september in the stratford branch, and the staff showed no compassion. they've done nothing to help. this store clearly isn't the safest place to be in. pickpocketing is one thing but robbery is another. obviously the security aren't very useless. when my mum came home she was shivering; she had to walk because they took her phone and all her cards. she is diabetic and now she is scared to go out by herself. this is how hm treats their customers so poorly. my mum gave the full description of the culprit; it was a lady wearing the hijab but nothing has been done; instead the staff were showing attitude as if it was her fault she was robbed.
2021|Irene Burmaka|London|UK|1|great products. second h&m in one day with rude staff on the entrance. we are all under the pressure but there 8s no need to be rude. just before that visited other shop from different brand with very nice and friendly people around. please work with your staff.
2022|Rupert Dannreuther|London|UK|1|terrible customer service today. staff leaving till seven when massive queue. rude staff at till whispering behind customer back. ignored by staff member who was in front of me in downstairs till. 13:33 store gb0911 sa 132231 no 9259
2020|Marcelina Paulinska|London|UK|1|"terrible experience. not only h&m has terrible return policy where you can't do straight forward exchanges. i bought something online on black friday sale, size was too big so wanted to go for smaller size. couldn't get it for the same price as originally as you can't exchange items. you need to return it and buy it again and of course price went back it original one. then you go to store to return item and code that is on my label didn't work. haven't been offered any alternative solution or apology. i was just left with: ""oh, the code doesn't work and you need to return it online"" send off. won't be shopping at h&m again. fix your return policy and poor customer service!"
2022|Sonia Hallam|London|UK|1|the worse h&m i have ever visited, rude staff and that is the only way that they excelled
2020|Carlos Rubio|London|UK|1|"horrible and unhelpful staff in the fitting room area ar h&m westfield stratford. two memvers of the staff today at 8.42pm, talking loudly about random conversations in front of me when i came to try some trousers. then i noticed that i needed a size more and they said they are closing and i cannot come back with the other said, it wasn't even 8.45pm yet! the only thing they said when i mention that i only needed a size more was ""sorry about that.."". it was definitely the most unprofessional service i've seen in retail and will not come back to this shop at all. there are plenty of retailers and definitely providing a better customer service!"
2018|Peter Shaw (Clips2Fix)|London|UK|1|new store looks great. staff are useless. after waiting 30 minutes in a queue, i tried to use my westfield discount card. he denied it, called for a manager and waited 10 minutes and they didn't come. paid full price and a young boy left the security tags on the clothes! (kids wear department) need to make a trip back there tommorow now. salesman is 138933. ridiculous
2022|Habiba Chowdhury|London|UK|1|got forced to open a membership account even though i refused and said i didn't need it. felt very pressured to have to waste ten minutes to open an account just so i could pay for my good.
