date|user_name|review|star
7 months ago|Lem H|I purchased a men’s belt on July 3,2022 at this store. When I approached the cash counter no greeting what’s so ever. A tall young black male behind the counter cashed me out. Not a word during the whole time. I told him the belt on sale on H&M website and show him the price. He cashed me out by saying no return on sale item. I asked him if possible to punch more holes on the belt he unwillingly replied “no”. No “hi”, no “thank you” nothing the whole time while I was there. May be I’m an old fashion simple thank you would long way. To me, it appears he doesn’t want to be there serving customers. He need to understand there are many young people loved to have a job like he has.|1
a month ago|Josie Nufrio|Hate this place no one helps you the store is so messy.  Can never find what I want. The one in  Hillcrest is much better|1
6 months ago|Michelin|The store does not update their inventory ever. Drove 30 minutes just to find out that every size was sold and not a single piece of item was available when it showed online that all sizes were available for that item. Zero care from the workers or management.|1
a year ago|Cristina Manzone|I wish I could rate the customer service a 0! I wanted to exchange an item. I had a gift receipt and the store manager would not offer me an exchange or a  store credit. Item had tags on it, was never worn and was a Christmas gift.  I assured her that I was about to spend alot more and she was very rude and would not help. Be prepared, if you want to return something at this store, they DO NOT honour their store policy and the manager will give you a hard time.  I will never shop at this location again. I will support other locations or buy online. This post is strictly based on my experience with the store manager. I contacted head office and I hope she is spoken to about how she speaks to her customers.|1
5 months ago|Onidh|POOREST CUSTOMER SERVICE EVER EXPERIENCED IN AN H&M. THE EMPLOYEE WAS EXTREMELY RUDE AND HAD ZERO LITERALLY ZERO SENSE OF HIS OWN STORE. NEVER COMING BACKK|1
9 months ago|marissa theakston|It’s always so nice hearing staff that work at the store talking about how dumb customers are because of simple questions being asked, definitely not okay. It was a woman with blunt black hair that worked may 31st 2022 wearing a green top at 7:16 pm near the front of the store|1
a year ago|Czarina Payopay|Dear H&M even if you dont allow returns for selected items, at least do so if a product is defective. Well what can a large company lose so you wont probably care. Talk about you get what you pay for principle|1
a year ago|Des zamkov|Went to Vaughan Mills last night Waited 25 minutes to get into the mall Picked out what I wanted from  H&M. Product I had to exchange still had tags on them and was told Sorry we can't exchange it. I was baffled as I have no issues anywhere else I was returning the same top just for a smaller size. Really Frustrating  .  Poor quality for customer service as not even the manager would try to come up with a solution.|1
a year ago|Tyrrel Tomlinson|This is the worst H&M in the GTA! Do not shop here. This store is run by some horrible troll Karen who yells at customers when they have issues. I tried to return two spring jackets I bought within the hour. The troll lady denied the refund because they were sale items. I was neither aware nor was I told that sale items were final when I was cashing out. (very dishonest policy but that’s another story)  She  (maybe a he?) then started shouting at me and so rudely stated that I couldn’t read because the return policy is on the receipt.  When I responded she charged at me and then threatened to call security on me (lowkey a racial attack because I’m a black male re: Central Park Karen lady)  I’m so disgusted. I will never shop at H&M again.|1
a year ago|Cindy Mahn|Went into the vaughanmills location on July 28th around 630pm  to shop and was treated with such rude and unapproachable manner by seems to be MOD on duty ..she was petite Asian and when i approached her to ask return policy for sale items and where the cash counter was..she rolled her  eyes and pointed at cash as i was inconveniencing her. Imagine the rest of the team must be treating other customers if the manager on duty was acting in such manner. I will not be returning tp thi location. Totally unprofessional manner. I will go to that location again.|1
3 years ago|SANTINO D|Don't shop at H&M. Tried to exchange an Xmas gift for my child. I had the pants in my hand the return and the exact same pants just 2 sizes larger. They refused to do the exchange. So arrogant and rude. We don't do exchanges without receipts. Same pants just larger and you say no. what is this world coming to. This company will definitely be out of business soon.|1
a year ago|Gabriella Ree|Messy store. Unhelpful workers. Asked one a question he completely ignored me and I asked again and he ignored me for a call on his radio intercom. Ended up not buying anything because 3 different employees walked into me and pushed passed me. Rather then waiting the 5 secs for me to get where I’m going.|1
5 years ago|Amirhossein Nosrati|This H&M is simply terrible in customer service. The employees are unprofessional in past couple of times I visited. Even the managers are rude with lack of knowledge about their own promotions. I visited other H&M and never had any problems but here in Vaughan Mills, every single time they drive me crazy. Could you please teach your employees and manager in this branch how to respect customers and teach them about H&M promotions and policies. I know H&M policies better than the managers that I had to show them the print out even once. So disgusting and disappointing! Never ever gonna shop in this branch.|1
4 years ago|kgolo ndlovu|This is the worst H&M i have been to in my entire life. I have lived in Sweden for many years and know how H&M operates. I go to the one in Eaton centre and Bloor, those are my local ones, the stuff is great and know how to keep their stores clean. But this time, we decided to go there thanks to the Lego Discovery Centre.  I had a terrible accident in there due to their negligence, and still nursing my injury 3 weeks later. They had no 1st aid kit, they were terrible with first aid, as a family we had to DIY the 1st aid. They took our details and said they were gonna check on me that very week. NEVER HAPPENED! I am still waiting, but 3 weeks later, come on.|1
3 years ago|Joseph K|Horrible service. Staff is extremely rude. I just got surgery and ask to have some stuff held at the front so I couldn’t carry is. They lost all the stuff I put in the front within a matter of 5 min. I had to go recollect what I could injured. Then she gave me back over $50 in 10s when there was bigger bills in the till and I asked for them.|1
2 years ago|Isaac N|I attempted to return a single item without a receipt at this store last weekend. They gave me a number to call customer service and C. service didn't do anything for me; useless. The manager at this store came off as EXTREMELY ARROGANT and rude. I'm not coming back here.|1
5 years ago|Yana Ab|This H&M provides unbelievably disgusting customer service. H&M itself is one of the best fashion retails and always has the best prices and qualities but staff here are extremely rude! If you think you call a manager and attitudes are going to change?! WRONG! Managers are the same...they are working there to ruin your shopping experience. If you call for help, they gonna ignore you...if you complain about that, they gonna blame you!!!!!! If you call this store for a check, no answer! If you want to pay for ur items, don't expect any kind of greeting at cash. Try to go to yorkdale or hillcrest mall! They provide good service|1
5 years ago|Natasha Bouyard|For the life of me I can't stand ANY of the employees at this location they are so rude, unhelpful, disrespectful and FULL OF ATTITUDE. H&M as a company is appreciated because of their selection of clothing and return policy...  but please please please, hire BETTER STAFF.|1
8 months ago|Lisa Wright|At no point did anyone approach to help! We left... not good.|1
3 years ago|Katelann Smith|A male manager yesterday i had an issue and  he was called to cash he didnt deal with the situation appropriately very rude and not listening to none of concerns and walked off and didnt resolve the issue .This H&M management team is very poor do not recommend shopping in here very mess in the store|1
4 months ago|MMVA|Really rude, unprofessional staffs.|1
5 years ago|Olenka Sv|In this location, Staff need to have more training to provide better customer service!! Employees are unprofessional! Customer service is much better in Yorkdale Mall.|1
7 months ago|TheVerdable|Terribly long lines. Barely staffed checkouts|1
4 years ago|Suzan Yalda|Love the Company- shop there often. Poor customer service very rude and unprofessional never satisfied when purchasing items.|1
3 years ago|Sassy Taisha|Cashier that deal with me didn't want me to use my discount and came up with stupid excuse. Very disappointed|1
4 months ago|Kruti|Zero customer service.|1
5 years ago|Micheal C|the white cashier with glasses, screwed up my checkout and forgot to take off the security tag of my tee. smh|1
a year ago|Devon Campbell|Never been here but google says I was|1
2 years ago|Karan KRG|Zero customer service dont bother to ask anything they will not help you!!|1
a year ago|yas daroo|Very rud and impolite staffs specially the managers|1
11 years ago|Matt Rependa|Parking is scarce, traffic in the vicinity is insane, the mall is too big to shop effecitvely. Yawn Mills.|1
4 years ago|vincevega0|Worst store.  Doesn’t treat people like humans. Don’t work here.|1
3 years ago|Rohan Punj|The staff rudely disconnects when you call the store. No courtesy. No customer service.|1
2 years ago|atinder jeet|poorest customer service ever , employee doesn’t know how to talk to customer|1
3 years ago|Nasir Vaidya|Worst quality of clothes.I will not buy it again|1
2 years ago|John Daniel|Worst customer service and employee are   been so rude towards customers.|1
a year ago|Rock NRoll|Low quality....stay away|1
9 months ago|F U|Lazy and rude|1
3 years ago|Miguel Gonzales|Never been there|1
3 years ago|suchita pathak||1
3 years ago|Asha Farah||1
4 years ago|Miss Chopra||1
3 years ago|Brian Cho||1
5 years ago|tanea 3112||1
a year ago|Lisa Ramcharan||1
3 years ago|John Dewit (Butterman187)||1
3 years ago|Anthony Stubbert||1
a year ago|Kevin Widmer||1
4 years ago|Riddhi Aggarwal||1
6 years ago|joseph jayadeep||1
3 years ago|klisandra noriega||1
4 years ago|Albab||1
3 years ago|Minh Nguyen||1
3 years ago|Soudabeh Hamzehi||1
7 years ago|Alexandr Raskin||1
4 years ago|Bryan Fung||1
2 years ago|ash z||1
4 years ago|Marina Di Nardo Porretta||1
8 months ago|Ari Katchen||1
3 years ago|Pratik Deshpande||1
4 years ago|Chay Jay||1
3 years ago|Rutu Patel||1
7 months ago|Marie C|Browsed around the store last Thursday morning. It seemed like everyone was working at a snails pace except for two staff members (the girl in the fitting room + a young man at the men’s pay/checkout area). Everyone else clearly needed some coffee. Store seemed tidy, wide selection of items to choose from but not the best customer service. I suggest shopping at another H&M location, or online|2
3 months ago|Asma Sajid Ali|No mirrors placed anywhere in the store. - a very elaborate strategy by management to make people go to the fitting rooms if they need a mirror.|2
a year ago|Patrick smith|I bought a scarf set with glove and tam I didn't notice one of the gloves was missing until I got home. I live way to far to go back for it so it's just a lost for me I mean I can still rock the scarf and tam but I had to use an old black glove I had to wear with my new one glove problem solved I guess but h&m needs to make sure their items are fully stock with all that comes with it. Other than that nice clothes.|2
