date|user_name|review|star
4 months ago|Daiva Ažubalytė|Ah so disappointed. I ordered online, package came late and i was already on the trip. Just got back, tried everything and its too baggy, so i brought it to the store for a store credit as it was a little passed 30 days. They have all items in stock right now so i did not see a problem. Counter attendant was super nice but her manager was not, after checking that items are not used they tried to scan to return it but smh did not work and manager said that items cannot be returned, then i ask to exchange and its a NO.  I buy h&m very often especially for my kids but now I will choose Zara or GAP which are the same quality brands providing excellent customer service!!!|1
4 months ago|TJ Conwi|I spoke to a lady on the kids section before I bought an item and she told me that I could return or exchange item that I'm buying for my daughter. When it turns out that the pants I bought was too small for my daughter I tried to return it to the store. Without hearing me out or listening to my story, the clerk just said sorry its final sale. You can't return it. There you go. Without any compassion. Could it be that your staff made a mistake or miscommunicated?! As a brown person dressed in street clothes I felt like I was being judged when I walked in there. I honestly don't care about the money but I felt that it could have been handled a lot better . Better take your business elsewhere.|1
2 months ago|Sara K|Very poor customer service,  I was trying scarf while my sister was paying, one worker told me you can't take scarf front of mirror,😳😳😳😳  I don't know if I dont try how can I buy , it was rude  I never seen someone said you can't take there 🙄🙄🙄🙄🙄🙄🙄 …|1
5 months ago|Gavy Gosal|Horrible experience at this store. Was demeaned and insulted by a staff member while trying on clothing. After contacting their customer service department about the incident, they promised some sort of credit, only to ghost me and ignore further emails. Guess this is acceptable to them. I have shopped here for years but will never go back again.|1
7 months ago|Sanaz N|Bad customer service!!! I am really disappointed with the service I’ve got from H&M today. I am a royalty member of H&M. Today I wanted to return one item of hundreds items that I bought online from H&M at this place( pacific centre) but since it was just few days past from 30 days they didn’t accept the return. I was thinking with my self that how much I have spent during last past years and how awful customer service I got. I asked the manager to just do the return this time for me since I wasn’t able to return the item which was completely unused from the summer collection and he repeated the policy for me and asked me to call H&M customer service and get the authorization. After spending an hour in that branch and trying to contact “Customer Service” their answer was the same. I am really upset at this time because I have never seen this kind of CS in Vancouver before. Never come back to H&M again!|1
2 weeks ago|Jay Lam|Not enough cashier's, cashier's do not listen to customers and added unnecessary charges.|1
8 months ago|Peter Burton|I bought two pair of shorts. Two weeks later, the zipper failed on one. When I tried to return that pair, the manager said, no receipt, no exchange. Shoddy products, lousy return policy, lousy customer service. Never again.|1
8 months ago|misun Joung|It's not worth the score.The customer service is so bad.The staff didn't understand the guidelines and contents of the service, so they spent half an hour, but they couldn't find a good reason. A place where someone who she like  to be a manager speaks cant English|1
10 months ago|Gurjot kaur|The cashier over there are so rude. They do not know anything about costumer service. I went there yesterday and the price was written wrong at one place abd the system was showing different price. When I noticed it, the cashier started arguing with me. I am a nice person and it was my worst experience. I would never visit at this location again.|1
7 months ago|Fernanda Reis|Do not shop at this store. The staff is the most unhelpful of all stores. H&M is already weak when it comes to customers service and quality but this store managed to be the worst one.|1
2 months ago|porsha|Employee rushed me out of the change room bad service|1
2 years ago|Guramrit Kaur|Really bad customer service. Right at 06:59, we wanted to exit the store. The girl at men's department was closing the shutter gate. We requested if she could open the gate, she straight up refused to open it and told us that we need to exit through Granville St. We then hurried up to female section upstairs.This girl up there was closing the door. We requested if she could open the door. She didn't say a word after this. My boyfriend apologized to her twice but she said nothing at all. At last, we said thankyou and she didn't even respond to that. The worst associate I have ever met in my life. Maybe the employees need to be a little nicer towards customers.|1
2 years ago|K Atkins|Apparently returns aren’t allowed Friday through Sunday which is a nuisance considering their dressing rooms are closed. How as a business can you select days when returns are and aren’t permitted not only is this super inconvenient it’s incredibly bold considering your located in a Monday to Friday business environment of business towers. Do better|1
a year ago|Miranda Lewis|They won’t let you return things in store that were purchased online, which is a pretty irritating and cheap company policy. Definitely not clear when making a purchase in their website. I don’t normally shop at H&M and this definitely won’t motivate me to do so.|1
3 years ago|Adam Potega|Several days ago I purchased a shirt. I was getting ready to go to work and put my new shirt on. What a surprise! The security tag was still on. Oh well, I thought happens, human error. I just went to the store to take it off, so after mere apologies I asked for a discount for the next purchase, as I had to use my time and money to get back to the store. Unfortunately we don't do it here, I heard from the girl at the cash register. She talked to the manager and he confirmed. I returned the shirt, I won't support this company ever again, there lots other options.|1
2 years ago|Amber Marple|WORST SERVICE EVER!! I like H&M and their clothing gives you a good bang for your buck. This location is the absolute worst though and I wouldn’t recommend shopping here. Multiple staff members were rude and unhelpful. The store is extremely disorganized and there are clothes everywhere. It seems like a lot of stuff but none of them know what they’re doing. I realize that it’s Covid and that certain stores aren’t allowing people to try on items, it would be helpful if they had signage at the front of the store that let their customers know that. Instead I ended up walking around with a huge bundle of clothes only to be told that change rooms are unavailable. The staff member I spoke to was rude about it.  To make matters worse,  I went back the next day to do some returns after I had gone home and tried everything on. The staff were again rude and unhelpful with the returns. I couldn’t believe the horrible service that I had here. Once again WOULD NOT recommend shopping at this location. You’re better off ordering online, you can’t try on there anyways.|1
a year ago|Pushpa Aryal|Hi, Dear management, just to let you know H n M pacific location has the almost worst staff. their knowledge is far far far away from practical situations. as i m a regular customer of H n M but it doesn't  matter to anyone then I will be doing no shopping from Hn M . thank you for making my day bad. honestly, i want to give zero star to the pacific location in terms of customer service n to the manager.|1
a year ago|Tanya Khanijow|"Pathetic customer service, specially a lady named ""ANNE"" on the front-desk. They behave so rude and talks like it's their own store. Sales person like this are actually spoiling the brand name. Sorry to say, but will never visit this store again (nor I recommend)."|1
10 months ago|Krystal Liu|This Indian cashier was so rude and impatient with every single word I said…..like if u don’t wanna work as a cashier then go find another job. Stop giving attitudes toward customers😅😅😅 …|1
2 years ago|Shahnaz Safa|Terrible experience!!!! The cashier, she was so mean!I Unfortunately I have to say it was my second and the last one I would never ever shop there. I personally work at retail for 10 years, eye contact, greeting it's the most important key at retail.|1
a year ago|PUSHPA SANGWAN|Worst return policies. If Something is torn, not even bother to exchange or return even if customer is  trying to do in within 24 hours. Thank you for a horrible experience Regards, H n M loyal customer.|1
5 years ago|Aiza Sajjad|The male cashier was quite rude and completely unprofessional.  My mother requested to get the price for a sweater because she was purchasing a size medium and all the small sizes were tagged as sale items. The cashier would not let her speak and he kept interrupting her stating that there is no sale on the item instead of simply scanning it to get the actual price. The manager I spoke to apologized repeatedly but didn't resolve the price mystery. We had to take matters into our own hands and go to a different cashier and let him scan the item only to find out the damn sweater was on sale. I will not be returning to this store due to lack of service. I don't expect extraordinary service but at least treat your customers like people! Terrible service and terrible management!|1
2 years ago|Mister A|"Was looking for jeans this evening. Asked the lady if she could help me with jeans. She didn't even make eye contact and said,  ""I'm busy doing something else right now, but I'll be back!."" goes to women's section to hang some clothes, comes back and walks by me completely ignoring me. Zero customer service! Can't wait for Uniqlo to open its stores! had a great experience at their location overseas. Superior products too! Shopping at local Hollister store has been very pleasant!"|1
