date|user_name|review|star
3 months ago|Annie L|I went in this evening to do a quick exchange around 7:00pm. I asked the cashier in the womens section (brown girl I think she’s Pakistani or something. She had the accent as well) where on the floor I can find the item I was trying to exchange. She literally rolled her eyes and told me “I don’t know go ask someone working in the fitting room.” I was in a rush and didn’t have the time to discuss this with the manager, but thankfully the sweet manager or assistant manager who was by the fitting room helped me with my item. She was a lovely lady and I wish they would train their employees to have this type of customer service. That’s all.|1
8 months ago|Ltlight|The Asian woman in the fitting room staff is quite odd. I understand if two people aren’t allowed in the same fitting stall, however, what I don’t get is why she only calls out certain people and not everyone else. If more than 1 person isn’t allowed in the stall stay consistent and say that to everyone who is doing it or just shut your mouth.|1
2 months ago|R Y|Charging for a paper bag and not telling you. Why do big companies try and draw every cent from you.|1
3 years ago|Jorge Coutino|Cashier was very rude and overall a disappointed experience. I hope someone can look into this and solve the problem. Here is the screenshot of the store where it happens and the information need it to see what sale representative assist me with my purchase.|1
8 months ago|Juanita Hardy|My dinner was good. But the service and service time was horrible. Maybe short staffed? But after we sat for our reservation, other tables started arriving around us, and they got service before us.... drinks and food orders.|1
a year ago|Anneka K|Horrible return policy. I went to exchange an item ordered online hoping to get store credit but I was told it was not possible. Employees were helpful and it’s not their fault but I do think that they should have a better return policy for online orders as it also costs $ to ship it back when most places don’t charge…|1
a year ago|Cong Huynh|Took my daughter out shopping after Boxing Day.  When has it become ok to charge a customer $0.10 for a bag? Maybe coming from the suburb I feel really offended?! I spent over $200, did they think that I should carry the clothes bagless? Does H&M believe that they can recuperate enough BAG money to cover for their losses in Asia?  Eventually my daughter will out grow H&M and I certainly expect that like Gap, H&M will be a distant memory. Good luck collecting 10 cents per bag because you definitely offended this customer.|1
8 months ago|Mishal|Management issues, suddenly you find that the fitting room is closed!! They cant blame covid this time! Who buy clothes without trying them first!!|1
4 months ago|Nick Burris|Change rooms have loose curtains that leave many peep holes :(|1
10 months ago|Wainnie Gebrea|The  worst customer service, very arrogant while they serving talks about there personal life, i try to talk to the manager with my problems issues but i couldn't find 1 person to listen my concern. I ll never shops in that store.|1
a year ago|Md Khoir Ahmed|Very bad customer service. I have brought some clothes and security stopped me as claimed tag on the clothes did not remove. I showed her my receipt but she told me to go to cash counter agin. I went there and ask the cashier to remove the tag, she said there is no tag then I ask her to come with me to security girl or talk to ger that nothing wrong she said she can't leave that place nor talk to her. Then I asked to take the clothes and refund me as I don’t want to get bothered agin. It was very unprofessional customer service.|1
a year ago|Angus Wiebe|"They ran this marketing campaign saying take home to try on and return if they don't fit. Brought two pairs of pants home that didn't fit, try to return them and was told that they were ""worn"" and that ""we can't accept those for return"". Bait and switch marketing tricked me into 'buying' two pairs of pants that were too small. I had just signed up for the loyalty program as well, but now I won't ever be shopping at H&M again, which is a shame because I liked their products. But my hand is forced... would you put up with fraudulent marketing? I'll be convincing as many friends as possible of this as well, and contacting the BBB."|1
a year ago|Ethelia Choi|Very inconsistent return and exchange policy. I was told that I could exchange the products (socks on final sale) when I bought them. However, when I went to get them exchanged, the staff said I couldn’t. Staffs are very impolite and unhelpful. Bad experience. Would have given no stars if possible.|1
3 years ago|Joshua Andrew|Some friends and I spent about 2 hours in this store; not a single person greeted us on the sales floor, no one acknowledged us for several minutes when we walked into the fitting room even though there were 5 people chatting in there behind the table, and a pretentious guy working took a rail and walked it between my friend and I, forcing us to move out of the way, and he didn't even say excuse me or apologize for forcing us out of his way even though he had more than enough room to go around. The girl at cash was extremely friendly though (Alexa?), almost nice enough to make up for the mediocre service from everyone else working. I expected more from a flagship H&M location.|1
6 years ago|Lianne Joy Chung|"I should say customers shouldn't drop anything in the store!! One of the staff here is super rude with extremely bad attitude!! I almost felt like talking to the manager due to this experience. I see why people say that the H&M staff at Eaton Centre is horrible!! If I can give 0 star, I would....I would give the big store a 4 star, though... However, they really need to have a good team of staff working as well. Back to the experience.. First of all, I am pretty sure that the clothes were not balanced well. Just a little touch and everything fell down. I was shocked and couldn't react at that moment.. There was a nice customer who helped and at first I thought he was a staff, so I let him do his job.. then the ""real"" and rude staff come by to help and was so super rude!! Pin pointing that a customer who was standing right there dropped the clothes and still looking! I would have totally helped if there were only one staff!! But there were 3!!! Either way, that guy shouldn't treat a customer  who is right there with those rude comments. I will never come back to shop at this H&M as the respect we get here to shop is not worth spending!!!"|1
3 years ago|Neeti Chaubey|"Pathetic customer service skill by a store manager Andrea. I went to the store to redeem my birthday discount for 25%. At first she said i could only do that online, then i showed here where it clearly said i can also redeem that in store. When she was not able to scan the bar code due to some glitch on their end, instead of owning up and honoring the discount she exactly said these words ""well i don't run the app and you can come back later if u like"".not only it upset me but I was also sad to learn that People like her are running a brand like H&M"|1
a year ago|Sean-Anthony Ashman|Horrendous customer service. They advertise that they do curbside through Instacart yet the app itself is terrible and inaccurate. Called the store directly and was told they can work with me to buy what's in store through Instacart. I did research, made a list, called back and unfortunately got a different, terrible, lazy and obnoxious rep in the Men's department who didn't want to do a single thing to help... What else do you have to do during a shutdown? How is the messaging so inconsistent? Don't advertise curbside if you don't have it or you hire employees who would rather get paid to lie and be lazy instead of doing their actual job! Also once again...INSTACART IS TERRIBLE!|1
3 years ago|Harry Steinfield|This place is the worst. I was just shopping for 2 hours in the store and my shopping bag was gone seconds after I left it unattended. I told it to a customer service rep. By the look on her face, seemed like she was doing a huge favour to look for it in the fitting room and a cashier. When asked for a manager - she said it was only a customer who could take a shopping bag at this point. So I have one question: then why did the stuff look for it in the places like fitting room? I just felt very unwelcome and nothing was done to help me to recollect items missing either from a rep or from a manager. If only I was there for 15 mins I wouldn’t care that much..|1
3 years ago|Bionic Bunny|Honestly, I'm not sure how H&M survives. Really poor customer experience. $5 is charged to return on online item (very small print that I hadn't noticed before), no in-store returns, random cancellation of order when items that are in-stock then magically out-of-stock. Worst service.  Forgot about the terrible sizing, bad odour from clothing items, etc.|1
4 years ago|T and E H|"Horrible snobby sales associate, I ran into today. Not one smile on her face. She didn't even look at me. The total was $35.90, so I gave $40.90. She grabbed the $40 out of my hand so quick the change dropped on the security tag remover and it got stuck, the whole time she was huffing and puffing and rolling her eyes. So I said "" well you shouldn't have grabbed my money out of my hand so aggressively"" she then proceeded to throw my clothes in the bag, so I snatched it from her so fast she didn't know what happened. This isn't the first time. Terrible customer service. Half of these comments are about the customer service in a negative way... it should be a clue to the establishment."|1
2 years ago|Vivian Bloom|I haven’t went out to shop in a mall since quarantine started, so it was weird to see so many security guards which I didn’t mind. However, the moment I walked in, I saw the security guards running around as if they were chasing someone but they seemed lost. I ignored it and went on my merry way, at the time I was wearing a side tie top and it started getting loose so I found a mirror to retie it. And that’s when a security guard stood right beside me and stared at me the entire time I fixed my top. I asked if she needed something and she just ignored me and stared. I’ve never felt so uncomfortable at a mall in my life, horrible experience. Never going back|1
