0|tweet
0|@ranjinipetrina5 thank you for confirming that you have already dm'd us, and you will shortly receive the revert on that. thank you!
1|@jehernameisjeff hi there. if you could please send us a dm with your name, email and billing address and we will be happy to look into this for you. speak soon!
2|@hm_custserv hi. i sent my order to the wrong address by mistake. evri and you have sent me a confirmation of it being delivered but the new occupier says it was sent back - can you help find what's happening? thanks.
3|@justsaycj what a beautiful sweater unfortunately the sweater is indeed currently not available in the webshop. when and if it become available we can't say. the only advice we can give is to keep a close eye on the website. hopefully this beauty will be available again soon! https://t.co/h4sdlkm1lw
4|@ranjinipetrina5 hello, we are really sorry for the inconvenience caused to you and understand your concern regarding the delivery. request you to please share your full name, registered email address and the billing address via dm on instagram or twitter, we will be happy to help.
5|@hm_custserv hi escalating an issue with order. it's been 12 days and my order has not reached me. upon contacting customer care they have been dodging the request and keep asking me to wait for 48 hours this has been happening since the 27th.
6|@hm_custserv dm done
7|@hm @hm_custserv my wishlist has suddenly vanished. it was there till yesterday and then last night all of a sudden it's gone. one curates their wishlist so that they can get things slowly and now all of a sudden it's not there. help.
8|@hm_custserv hiya, i returned an item to you monday, they're usually pretty swift with the return, however another payment from klarna has gone out in that time & no sign of you receiving the return. how much longer do i give it? many thanks!
9|@hm_custserv an order made on 28th which said delivery within 2-4 days is still in your warehouse and hasn't moved since 28th feb 00:00. can you please send me this parcel. order 51773874070
10|@amitshah94 hello, we are sorry for the inconvenience and understand your concern regarding the refund. request you to please share your full name, order number, registered email address and the billing address via dm us on instagram or twitter and we will be happy to help.
11|@divyakarki3 hello, we are sorry for the inconvenience and understand your concern regarding the delivery of the order. request you to please share your full name, order number, registered email address and the billing address via dm us on instagram or twitter and we will be happy to help.
12|@nehaabay hello, we are sorry for the inconvenience and understand your concern regarding the delivery of the order. request you to please share your full name, order number, registered email address and the billing address via dm us on instagram or twitter and we will be happy to help.
13|@hm_custserv yes, i think two more too ..! thanks for helping me decide..!
14|@perezgarridog hola amiga! nuestras ubicaciones de entrega son las que estan indicadas en el siguiente enlace. si no aparece como opcion, no esta disponible para entrega por el momento. saludos! https://t.co/6jdm4gstax
15|@mingming_otep hi, there. can you kindly dm us? we'll speak soon!
16|@browngoddesss hi, jass. we are deeply sorry to hear about this! can you kindly dm us your order number, name, email, and address? we'll speak soon.
17|@hm_custserv my order has still not been delivered.your telephone customer services is poor & asked me to wait 10 days before calling back to ask for refund. this is completely against the sales of goods act. the order was supposed to be delivered within 2-4 days it is now day 6
18|@hm_custserv i jus did. thank you
19|@bescancan oh, no! this does not look right. can you kindly dm us your order number, name, email, and address? we'll speak soon.
20|@mingming_otep hi, there. we are able to help with an order update! can you kindly dm us your order number, name, email, and address? speak soon!
21|@hm_custserv hi, any idea when this product will be available in nl again? https://t.co/8oclecswgv
22|@lesfowler18 hi les! we're sorry to hear your order didn't arrive safely in your hands. please dm us your delivery address and email, so we can investigate this further. chat soon! https://t.co/h4sdlkm1lw
23|@scapegoatmami we appreciate the love!
24|@hm_custserv my order is showing as delivered but photo shows it's clearly not at my address and i haven't signed for it. hope can this be resolved please?? order 51736693130
25|@kelleycarrie_ oh no! this isn't what we like to hear. send us a quick dm and let's see what we can suggest. chat soon. https://t.co/h4sdlkm1lw
26|@mspatelx hi there! we would love to take a look into this for you. may we please have you dm us your full name, email address, billing address and order number? talk soon.
27|@hm_custserv ordered goods on tuesday night and just checked my delivery status as i needed the items for tomorrow. apparently they're still in the warehouse and haven't been dispatched. the order said delivery would be 2-4 days.
28|@jujuaone we vote as many as your heart desires! it's such a cute dress!
29|@mikehy83 hi there! sorry to hear this has happened. may we please have you dm us your full name, email address, billing address and order number? talk soon.
30|@iamsunilnairk hi there! we have now replied. chat there!
31|@hm_custserv @hm should i buy two more..? that's my only question https://t.co/kgqzpdjv2o
32|@hm_custserv can anyone please respond to my dm?
33|@oshawacentre we absolutely love this look!
34|@valbenmusic enjoy your beautiful shirt! thanks so much for shopping with us, take care!
35|@valbenmusic @hm_custserv
36|@valbenmusic @hm_custserv
37|@hm_custserv thx for luv i'm so excited proud to wear this beautiful shirt #haiti https://t.co/fv0zzjg1ql
38|@laurenp__x oh no! this isn't what we like to hear. send us a quick dm and let's get this sorted. chat soon. https://t.co/h4sdlkm1lw
39|@angeltiramissu hey there! we recommend signing up for email alerts by clicking the notify me button on its product page. this way, you'll be amongst the first to know if/when it becomes available again. no resellers necessary!
40|@hennymehrhoff wir finden sicherlich noch einiges, henny, wenn du uns verratst, welche farbe und groe du genau suchst, denn schlielich sollst du ja nicht frieren mussen!
41|@hm_custserv also zwei shirts sind jetzt nicht einiges. auch wenn in verschiedenen farben verfugbar. will nur darauf hinweisen, dass nicht jede/r gern an der bauchregion friert...
42|@hennymehrhoff hi henny, da haben wir aber einiges fur dich gefunden. schau doch gerne einmal unter https://t.co/maotrjawtf oder https://t.co/ejikpgfrtc bei uns vorbei!
43|@pointyhound hi there! yes, please feel free to visit our h&m store to participate in our garment collection initiative. have a great day!
44|@hm_custserv despite repeated complaints no response from your side for poor amenities . tell me please shall i escalate the matter to consumer court .
45|@rebeccadevin8 hi there! for us to safely access your account and look into this for you please dm us with your email address and full billing address. speak soon!
46|@hm_custserv my order hasn't arrived 51763395560
47|@toodlingdown hey there anna! could you please send us a dm so that we can assist further with this? thanks, and speak soon!
48|@_jonathanstreet hey there johnny! we're so sorry to hear that your order hasn't arrived yet. could you please send us a dm so that we can look further into this for you? thanks, and speak soon!
49|@hm_custserv hello! i ordered something on 27 feb (uk) and it hasn't been despatched yet. i go on holiday tuesday 7th and have bikinis etc in the order. can you let me know whether it's likely my order will arrive in time? otherwise i will need to source the items elsewhere.
50|@hm_custserv do you offer alternative delivery providers? unfortunately for me i paid extra for 'next-day' delivery, but as it was shipped with #evri it hasn't arrived on time!
51|@hm_custserv hi, before i lug some carrier bags into town with me, could you confirm that you're still doing the voucher for clothes to recycle? i can't find anything on the app.
52|@rebeccadevin8 hey rebecca! we're so sorry to hear that you haven't received your order yet. could you please dm us so that we can look further into this for you? thanks, and speak soon!
53|@hollyboz94 hey there holly! we're so sorry to hear about this. please do send us a dm so that we can assist further! thanks, and speak soon!
54|@cjane2102 hey christina! we're so sorry to hear you haven't received your order yet, could you please dm us so that we can assist further with this? thanks, and speak soon!
55|@ayesh2306 hey there ayesha! could you please send us a dm so that we can assist further with this? thanks, and speak soon!
