|tweet
0|@hm_custserv hi my order seems to be stuck awaiting dispatch, can you check please? 51800233200
5|@hm_custserv Hi guys, my partner took a return to the post office &amp; despite every effort the barcode would not scan - the only thing the guy cud do was accept the parcel as the address was clearly shown. We have the proof of posting but your system is not going to pick it up?
6|@hm @hm_custserv when my money will be refunded?  https://t.co/FunND2Pxlh
8|@hm_custserv your 'notify me' function isn't working by the way.  https://t.co/g83StJucbc
9|@hm_custserv poor services....kindly either close your store at Inorbit mall, hyderbad or improve your services... Shame
10|@hm_custserv  https://t.co/xfaSHvqOEy
12|@hm_custserv yes i follow
14|@hm_custserv Hi, if I want to put multiple packages in one return package (through Evri), do I need to put multiple return labels on the parcel or just one?
20|@hm_custserv  I ordered a dress on Wednesday morning at about 6am for a party bearing in mind the 2-4days for delivery. It’s Saturday status says order packed. It’s Been so for the last 2days. I’ve constantly experienced this with H&amp;m and its so frustrating.
24|@hm_custserv ordered like two dresses a while ago for my birthday next week, and i haven't even had an email to say if they've been dispatched from warehouse 😭😭 need them for my birthday fr
26|@hm_custserv return Page is not working .  Location India  https://t.co/CWklqh6g7V
27|@hm_custserv Thanks, sent a DM
32|@hm_custserv Hi. I sent my order to the wrong address by mistake. Evri and you have sent me a confirmation of it being delivered but the new occupier says it was sent back - can you help find what's happening? Thanks.
35|@hm_custserv Hi  Escalating an issue with order. It’s been 12 days and my order has not reached me. Upon contacting customer care they have been dodging the request and keep asking me to wait for 48 hours This has been happening since the 27th.
36|@hm_custserv DM done
37|@hm @hm_custserv   my wishlist has suddenly vanished. It was there till yesterday and then last night all of a sudden it's gone.  One curates their wishlist so that they can get things slowly and now all of a sudden it's not there.  Help.
38|@hm_custserv Hiya, I returned an item to you Monday, they’re usually pretty swift with the return, however another payment from Klarna has gone out in that time &amp; no sign of you receiving the return. How much longer do I give it? Many thanks!
39|@hm_custserv an order made on 28th which said delivery within 2-4 days is still in your warehouse and hasn’t moved since 28th Feb 00:00. Can you please send me this parcel. Order 51773874070
43|@hm_custserv Yes, I think two more too 💖..!  Thanks for helping me decide..!
47|@hm_custserv  My order has still not been delivered.Your telephone customer services is poor &amp; asked me to wait 10 days before calling back to ask for refund. This is completely against the sales of goods act. The order was supposed to be delivered within 2-4 days it is now day 6
48|@hm_custserv I jus did. Thank you
51|@hm_custserv hi, any idea when this product will be available in NL again?  https://t.co/8oCleCSWgv
54|@hm_custserv my order is showing as delivered but photo shows it’s clearly not at my address and I haven’t signed for it. Hope can this be resolved please?? Order 51736693130
57|@hm_custserv ordered goods on Tuesday night and just checked my delivery status as I needed the items for tomorrow. Apparently they’re still in the warehouse and haven’t been dispatched. The order said delivery would be 2-4 days.
61|@hm_custserv @hm should I buy two more..? That's my only question 🤔😄💞💯  https://t.co/KGQZpdjV2O
62|@hm_custserv can anyone please respond to my DM?
65|@ValbenMusic @hm_custserv ✌🏾
66|@ValbenMusic @hm_custserv 💥💥💥
67|@hm_custserv thx for luv I’m so excited 🥰🖤 proud to wear this beautiful shirt #Haiti 🇭🇹  https://t.co/fV0ZzJg1Ql
71|@hm_custserv Also zwei Shirts sind jetzt nicht einiges. Auch wenn in verschiedenen Farben verfügbar.  Will nur darauf hinweisen, dass nicht jede/r gern an der Bauchregion friert...
74|@hm_custserv despite repeated complaints no response from your side for poor amenities . Tell me please shall I escalate the matter to consumer court .
76|@hm_custserv my order hasn’t arrived 51763395560
79|@hm_custserv Hello! I ordered something on 27 Feb (UK) and it hasn’t been despatched yet. I go on holiday Tuesday 7th and have bikinis etc in the order. Can you let me know whether it’s likely my order will arrive in time? Otherwise I will need to source the items elsewhere.
80|@hm_custserv do you offer alternative delivery providers? Unfortunately for me I paid extra for 'next-day' delivery, but as it was shipped with #Evri 🚩 it hasn't arrived on time!
81|@hm_custserv hi, before I lug some carrier bags into town with me,  could you confirm that you're still doing the voucher for clothes to recycle? I can't find anything on the app.
87|@hm_custserv I have shared the details again in DM, kindly check.
90|@hm_custserv Yea, the same item was on the rack. Could’ve just switched it out. Also, it wasn’t pinned to the mannequin. I took my money elsewhere! Best Wishes! 🙂
92|@hm_custserv ☺️  https://t.co/VLtFevVpl8
94|@hm_custserv Encuentro Oceanía o parque vía Vallejo. Es que ninguna me aparece con la opción de recoger pedidos
95|@hm_custserv As I said, unable to DM you. Will drop an email.
97|@hm_custserv Not able to send a DM unfortunately. My order no. is 26715149952 (online from the app in India) in case that helps.
99|@hm_custserv I have been in touch with customer care since January 2023! We’re in March now!
100|@ToddAultIII @hm @hm_custserv  Nästa generations marknadsplats, kanske något för er att ta en titt på, även era outfits på avatarer?  https://t.co/pyxTK0kgfE
102|@hm_custserv Thx ☺️
104|@hm_custserv Hi I have messaged you
109|@hm @hm_custserv I was informed that I will get my refund on 26/1/23 but again unfortunately till today I don't get my refund. I have tried calling customer service so many times and every time I was informed to get my refund in one week and also my mail was not replied.
111|@hm @hm_custserv I have ordered from H&amp;M App on 1/1/23 and received it on 3/3/23 but unfortunately 2 of the 3 items are too big to wear so I register a return on 10/1/23.The items were picked up on 11/1/23.  Order number - 26439907472
112|@hm_custserv @hm_custserv  I was informed that I will get my refund on 26/1/23 but again unfortunately till today I don't get my refund. I have tried calling customer service so many times and every time I was informed to get my refund in one week and also my mail was not replied
115|@hm_custserv hi I’ve paid for next day delivery and had no updates from yourself or evri and no parcel arrive.
117|@hm_custserv hiya I’ve picked up and order and the wrong item has been sent. How do I return if I can’t select the item as it’s not in the order?
120|@hm_custserv All sorted now thank you x
124|@hm_custserv order number; 51758731970 ordered 2 days ago, says delivery in 2-4 days but still not been despatched?
126|@hm_custserv the app has kept crashing for the past couple of weeks, even after installing the most recent update, means I can’t browse new in for longer that 10-20 seconds as it dies every time 🙁
127|@hm_custserv when is the studio collection dropping online in Canada? Thanks
131|@hm_custserv hello, I ordered a cardy and paid next day delivery. Cost me £6 😫 but because you are too busy there’s a delay! Very disappointing. My daughter is going to an awards ceremony tonight and I now have to rush out to find a replacement! Not happy!
132|@hm_custserv Ya os lo he enviado por privado, dame una solucion.
133|@hm_custserv Hi h&amp;m. When is the Ramadan collection launching in the UK please
134|@hm_custserv Heb gister gedmed met een vraag over mijn retourzending, hoor graag reactie terug!
136|@hm_custserv South Africa
138|@hm_custserv çok sevdiğim bir markasınız, ürünleriniz çok güzel.. Ama Türkiye 'deki hizmetiniz ve müşteri hizmetleri servisimiz çok kötü :(
139|@hm_custserv hi ordered online clothes from monki can I still return instore ?
140|@hm_custserv just placed an order using my 15% H&amp;M Move discount code, but only 7.5% came off? Can you fix this?
144|@hm_custserv @hm_custserv can i know how to contact with your for own your brand store or we can say become a store member of your group because I didn’t find any useful things on the website
